Image_array,Image_Path,class_0,class_1,Label
"[[[0.14117647 0.14117647 0.14117647]
  [0.14117647 0.14117647 0.14117647]
  [0.14117647 0.14117647 0.14117647]
  ...
  [0.09411765 0.09411765 0.09411765]
  [0.09803922 0.09803922 0.09803922]
  [0.10588235 0.10588235 0.10588235]]

 [[0.1372549  0.1372549  0.1372549 ]
  [0.14901961 0.14901961 0.14901961]
  [0.15294118 0.15294118 0.15294118]
  ...
  [0.0627451  0.0627451  0.0627451 ]
  [0.05882353 0.05882353 0.05882353]
  [0.05098039 0.05098039 0.05098039]]

 [[0.14117647 0.14117647 0.14117647]
  [0.15294118 0.15294118 0.15294118]
  [0.16862745 0.16862745 0.16862745]
  ...
  [0.08235294 0.08235294 0.08235294]
  [0.07058824 0.07058824 0.07058824]
  [0.05490196 0.05490196 0.05490196]]

 ...

 [[0.10196078 0.10196078 0.10196078]
  [0.17254902 0.17254902 0.17254902]
  [0.37647059 0.37647059 0.37647059]
  ...
  [0.27843137 0.27843137 0.27843137]
  [0.27843137 0.27843137 0.27843137]
  [0.29411765 0.29411765 0.29411765]]

 [[0.09411765 0.09411765 0.09411765]
  [0.19215686 0.19215686 0.19215686]
  [0.38039216 0.38039216 0.38039216]
  ...
  [0.2627451  0.2627451  0.2627451 ]
  [0.2745098  0.2745098  0.2745098 ]
  [0.29019608 0.29019608 0.29019608]]

 [[0.10196078 0.10196078 0.10196078]
  [0.18823529 0.18823529 0.18823529]
  [0.38039216 0.38039216 0.38039216]
  ...
  [0.26666667 0.26666667 0.26666667]
  [0.2745098  0.2745098  0.2745098 ]
  [0.28627451 0.28627451 0.28627451]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Viral_Pneumonia/Viral Pneumonia-1014.png,0.0,1.0,Viral_Pneumonia
"[[[0.43137255 0.43137255 0.43137255]
  [0.30196078 0.30196078 0.30196078]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.12156863 0.12156863 0.12156863]
  [0.1372549  0.1372549  0.1372549 ]
  [0.10196078 0.10196078 0.10196078]]

 [[0.34901961 0.34901961 0.34901961]
  [0.22745098 0.22745098 0.22745098]
  [0.14509804 0.14509804 0.14509804]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.08627451 0.08627451 0.08627451]
  [0.04313725 0.04313725 0.04313725]]

 [[0.29019608 0.29019608 0.29019608]
  [0.17647059 0.17647059 0.17647059]
  [0.10196078 0.10196078 0.10196078]
  ...
  [0.02745098 0.02745098 0.02745098]
  [0.05098039 0.05098039 0.05098039]
  [0.01568627 0.01568627 0.01568627]]

 ...

 [[0.24705882 0.24705882 0.24705882]
  [0.15686275 0.15686275 0.15686275]
  [0.10588235 0.10588235 0.10588235]
  ...
  [0.06666667 0.06666667 0.06666667]
  [0.07843137 0.07843137 0.07843137]
  [0.07843137 0.07843137 0.07843137]]

 [[0.2745098  0.2745098  0.2745098 ]
  [0.18039216 0.18039216 0.18039216]
  [0.12941176 0.12941176 0.12941176]
  ...
  [0.08235294 0.08235294 0.08235294]
  [0.09411765 0.09411765 0.09411765]
  [0.09803922 0.09803922 0.09803922]]

 [[0.30196078 0.30196078 0.30196078]
  [0.20784314 0.20784314 0.20784314]
  [0.15686275 0.15686275 0.15686275]
  ...
  [0.10588235 0.10588235 0.10588235]
  [0.11372549 0.11372549 0.11372549]
  [0.12156863 0.12156863 0.12156863]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10028.png,1.0,0.0,Normal
"[[[0.82352941 0.82352941 0.82352941]
  [0.78823529 0.78823529 0.78823529]
  [0.76470588 0.76470588 0.76470588]
  ...
  [0.76862745 0.76862745 0.76862745]
  [0.81176471 0.81176471 0.81176471]
  [0.79215686 0.79215686 0.79215686]]

 [[0.65098039 0.65098039 0.65098039]
  [0.58823529 0.58823529 0.58823529]
  [0.54509804 0.54509804 0.54509804]
  ...
  [0.43529412 0.43529412 0.43529412]
  [0.54117647 0.54117647 0.54117647]
  [0.65098039 0.65098039 0.65098039]]

 [[0.14509804 0.14509804 0.14509804]
  [0.07058824 0.07058824 0.07058824]
  [0.05098039 0.05098039 0.05098039]
  ...
  [0.03529412 0.03529412 0.03529412]
  [0.09411765 0.09411765 0.09411765]
  [0.29019608 0.29019608 0.29019608]]

 ...

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02352941 0.02352941 0.02352941]
  ...
  [0.01960784 0.01960784 0.01960784]
  [0.02352941 0.02352941 0.02352941]
  [0.01960784 0.01960784 0.01960784]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  ...
  [0.01960784 0.01960784 0.01960784]
  [0.02352941 0.02352941 0.02352941]
  [0.01960784 0.01960784 0.01960784]]

 [[0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  [0.02745098 0.02745098 0.02745098]
  ...
  [0.02352941 0.02352941 0.02352941]
  [0.02352941 0.02352941 0.02352941]
  [0.01960784 0.01960784 0.01960784]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10045.png,1.0,0.0,Normal
"[[[0.39607843 0.39607843 0.39607843]
  [0.40784314 0.40784314 0.40784314]
  [0.41568627 0.41568627 0.41568627]
  ...
  [0.81176471 0.81176471 0.81176471]
  [0.58823529 0.58823529 0.58823529]
  [0.36078431 0.36078431 0.36078431]]

 [[0.4        0.4        0.4       ]
  [0.41960784 0.41960784 0.41960784]
  [0.43137255 0.43137255 0.43137255]
  ...
  [0.80392157 0.80392157 0.80392157]
  [0.6745098  0.6745098  0.6745098 ]
  [0.40784314 0.40784314 0.40784314]]

 [[0.40784314 0.40784314 0.40784314]
  [0.42352941 0.42352941 0.42352941]
  [0.42352941 0.42352941 0.42352941]
  ...
  [0.73333333 0.73333333 0.73333333]
  [0.7254902  0.7254902  0.7254902 ]
  [0.4745098  0.4745098  0.4745098 ]]

 ...

 [[0.29019608 0.29019608 0.29019608]
  [0.38431373 0.38431373 0.38431373]
  [0.42745098 0.42745098 0.42745098]
  ...
  [0.19215686 0.19215686 0.19215686]
  [0.00784314 0.00784314 0.00784314]
  [0.         0.         0.        ]]

 [[0.29803922 0.29803922 0.29803922]
  [0.37254902 0.37254902 0.37254902]
  [0.43137255 0.43137255 0.43137255]
  ...
  [0.20784314 0.20784314 0.20784314]
  [0.01568627 0.01568627 0.01568627]
  [0.         0.         0.        ]]

 [[0.28235294 0.28235294 0.28235294]
  [0.37647059 0.37647059 0.37647059]
  [0.44313725 0.44313725 0.44313725]
  ...
  [0.21960784 0.21960784 0.21960784]
  [0.02745098 0.02745098 0.02745098]
  [0.         0.         0.        ]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Viral_Pneumonia/Viral Pneumonia-1084.png,0.0,1.0,Viral_Pneumonia
"[[[0.8627451  0.8627451  0.8627451 ]
  [0.83921569 0.83921569 0.83921569]
  [0.79607843 0.79607843 0.79607843]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 [[0.82352941 0.82352941 0.82352941]
  [0.8        0.8        0.8       ]
  [0.68235294 0.68235294 0.68235294]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 [[0.79607843 0.79607843 0.79607843]
  [0.76862745 0.76862745 0.76862745]
  [0.64313725 0.64313725 0.64313725]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 ...

 [[0.8627451  0.8627451  0.8627451 ]
  [0.83529412 0.83529412 0.83529412]
  [0.69019608 0.69019608 0.69019608]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 [[0.87843137 0.87843137 0.87843137]
  [0.85098039 0.85098039 0.85098039]
  [0.70196078 0.70196078 0.70196078]
  ...
  [0.05882353 0.05882353 0.05882353]
  [0.0627451  0.0627451  0.0627451 ]
  [0.04705882 0.04705882 0.04705882]]

 [[0.89411765 0.89411765 0.89411765]
  [0.86666667 0.86666667 0.86666667]
  [0.71764706 0.71764706 0.71764706]
  ...
  [0.0627451  0.0627451  0.0627451 ]
  [0.06666667 0.06666667 0.06666667]
  [0.04705882 0.04705882 0.04705882]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10053.png,1.0,0.0,Normal
"[[[0.24705882 0.24705882 0.24705882]
  [0.14509804 0.14509804 0.14509804]
  [0.14901961 0.14901961 0.14901961]
  ...
  [0.87058824 0.87058824 0.87058824]
  [0.87843137 0.87843137 0.87843137]
  [0.88235294 0.88235294 0.88235294]]

 [[0.14117647 0.14117647 0.14117647]
  [0.14901961 0.14901961 0.14901961]
  [0.14509804 0.14509804 0.14509804]
  ...
  [0.86666667 0.86666667 0.86666667]
  [0.8745098  0.8745098  0.8745098 ]
  [0.87843137 0.87843137 0.87843137]]

 [[0.14901961 0.14901961 0.14901961]
  [0.14509804 0.14509804 0.14509804]
  [0.14509804 0.14509804 0.14509804]
  ...
  [0.8627451  0.8627451  0.8627451 ]
  [0.8745098  0.8745098  0.8745098 ]
  [0.88235294 0.88235294 0.88235294]]

 ...

 [[0.42745098 0.42745098 0.42745098]
  [0.31764706 0.31764706 0.31764706]
  [0.23137255 0.23137255 0.23137255]
  ...
  [0.85882353 0.85882353 0.85882353]
  [0.85098039 0.85098039 0.85098039]
  [0.83921569 0.83921569 0.83921569]]

 [[0.4        0.4        0.4       ]
  [0.29019608 0.29019608 0.29019608]
  [0.20392157 0.20392157 0.20392157]
  ...
  [0.85882353 0.85882353 0.85882353]
  [0.85098039 0.85098039 0.85098039]
  [0.83921569 0.83921569 0.83921569]]

 [[0.38431373 0.38431373 0.38431373]
  [0.27843137 0.27843137 0.27843137]
  [0.18431373 0.18431373 0.18431373]
  ...
  [0.85490196 0.85490196 0.85490196]
  [0.84705882 0.84705882 0.84705882]
  [0.83921569 0.83921569 0.83921569]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10012.png,1.0,0.0,Normal
"[[[0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  [0.01176471 0.01176471 0.01176471]
  ...
  [0.01568627 0.01568627 0.01568627]
  [0.01568627 0.01568627 0.01568627]
  [0.01176471 0.01176471 0.01176471]]

 [[0.03529412 0.03529412 0.03529412]
  [0.03529412 0.03529412 0.03529412]
  [0.03529412 0.03529412 0.03529412]
  ...
  [0.04313725 0.04313725 0.04313725]
  [0.04313725 0.04313725 0.04313725]
  [0.03921569 0.03921569 0.03921569]]

 [[0.03529412 0.03529412 0.03529412]
  [0.03529412 0.03529412 0.03529412]
  [0.03529412 0.03529412 0.03529412]
  ...
  [0.03921569 0.03921569 0.03921569]
  [0.03921569 0.03921569 0.03921569]
  [0.03529412 0.03529412 0.03529412]]

 ...

 [[0.47058824 0.47058824 0.47058824]
  [0.50196078 0.50196078 0.50196078]
  [0.5254902  0.5254902  0.5254902 ]
  ...
  [0.7372549  0.7372549  0.7372549 ]
  [0.71372549 0.71372549 0.71372549]
  [0.62745098 0.62745098 0.62745098]]

 [[0.47843137 0.47843137 0.47843137]
  [0.51372549 0.51372549 0.51372549]
  [0.5254902  0.5254902  0.5254902 ]
  ...
  [0.74901961 0.74901961 0.74901961]
  [0.72156863 0.72156863 0.72156863]
  [0.63921569 0.63921569 0.63921569]]

 [[0.40784314 0.40784314 0.40784314]
  [0.45490196 0.45490196 0.45490196]
  [0.46666667 0.46666667 0.46666667]
  ...
  [0.6745098  0.6745098  0.6745098 ]
  [0.64705882 0.64705882 0.64705882]
  [0.57647059 0.57647059 0.57647059]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10042.png,1.0,0.0,Normal
"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Viral_Pneumonia/Viral Pneumonia-1076.png,0.0,1.0,Viral_Pneumonia
"[[[0.98431373 0.98431373 0.98431373]
  [0.96470588 0.96470588 0.96470588]
  [0.95686275 0.95686275 0.95686275]
  ...
  [0.94117647 0.94117647 0.94117647]
  [0.94509804 0.94509804 0.94509804]
  [0.94509804 0.94509804 0.94509804]]

 [[0.96470588 0.96470588 0.96470588]
  [0.95686275 0.95686275 0.95686275]
  [0.95686275 0.95686275 0.95686275]
  ...
  [0.94117647 0.94117647 0.94117647]
  [0.94509804 0.94509804 0.94509804]
  [0.94117647 0.94117647 0.94117647]]

 [[0.96470588 0.96470588 0.96470588]
  [0.96078431 0.96078431 0.96078431]
  [0.95686275 0.95686275 0.95686275]
  ...
  [0.94117647 0.94117647 0.94117647]
  [0.94117647 0.94117647 0.94117647]
  [0.94117647 0.94117647 0.94117647]]

 ...

 [[0.97647059 0.97647059 0.97647059]
  [0.97647059 0.97647059 0.97647059]
  [0.97254902 0.97254902 0.97254902]
  ...
  [0.96470588 0.96470588 0.96470588]
  [0.96470588 0.96470588 0.96470588]
  [0.96078431 0.96078431 0.96078431]]

 [[0.97647059 0.97647059 0.97647059]
  [0.97647059 0.97647059 0.97647059]
  [0.97647059 0.97647059 0.97647059]
  ...
  [0.96470588 0.96470588 0.96470588]
  [0.96862745 0.96862745 0.96862745]
  [0.96470588 0.96470588 0.96470588]]

 [[0.97647059 0.97647059 0.97647059]
  [0.97647059 0.97647059 0.97647059]
  [0.97254902 0.97254902 0.97254902]
  ...
  [0.96470588 0.96470588 0.96470588]
  [0.96862745 0.96862745 0.96862745]
  [0.96862745 0.96862745 0.96862745]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Normal/Normal-10017.png,1.0,0.0,Normal
"[[[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.01176471 0.01176471 0.01176471]
  ...
  [0.44705882 0.44705882 0.44705882]
  [0.50980392 0.50980392 0.50980392]
  [0.27843137 0.27843137 0.27843137]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.40392157 0.40392157 0.40392157]
  [0.45490196 0.45490196 0.45490196]
  [0.29411765 0.29411765 0.29411765]]

 [[0.00392157 0.00392157 0.00392157]
  [0.00784314 0.00784314 0.00784314]
  [0.00784314 0.00784314 0.00784314]
  ...
  [0.3254902  0.3254902  0.3254902 ]
  [0.38039216 0.38039216 0.38039216]
  [0.24313725 0.24313725 0.24313725]]

 ...

 [[0.00784314 0.00784314 0.00784314]
  [0.03137255 0.03137255 0.03137255]
  [0.03921569 0.03921569 0.03921569]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.05098039 0.05098039 0.05098039]
  [0.41568627 0.41568627 0.41568627]
  [0.34509804 0.34509804 0.34509804]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.18039216 0.18039216 0.18039216]
  [0.36470588 0.36470588 0.36470588]
  [0.23137255 0.23137255 0.23137255]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]",/data1/dane/image_recognition/ankle_classification/github_20_09_2023/Data/Viral_Pneumonia/Viral Pneumonia-1.png,0.0,1.0,Viral_Pneumonia
